iter	Passed	Remaining
0	100	100727
1	167	83469
2	232	77349
3	299	74573
4	380	75818
5	454	75288
6	525	74558
7	600	74400
8	679	74868
9	750	74310
10	819	73679
11	895	73761
12	962	73070
13	1031	72626
14	1111	73001
15	1179	72510
16	1244	71981
17	1320	72056
18	1391	71848
19	1464	71764
20	1540	71808
21	1609	71565
22	1677	71273
23	1760	71594
24	1838	71704
25	1915	71760
26	1993	71837
27	2061	71573
28	2129	71317
29	2202	71207
30	2279	71268
31	2392	72385
32	2487	72900
33	2568	72978
34	2640	72795
35	2706	72463
36	2773	72197
37	2848	72117
38	2922	72018
39	2993	71837
40	3066	71722
41	3138	71597
42	3208	71413
43	3274	71150
44	3338	70854
45	3406	70653
46	3470	70377
47	3538	70183
48	3619	70243
49	3698	70279
50	3768	70115
51	3836	69943
52	3906	69793
53	3974	69632
54	4044	69490
55	4120	69453
56	4185	69252
57	4252	69058
58	4318	68877
59	4384	68692
60	4453	68555
61	4535	68617
62	4601	68444
63	4668	68273
64	4731	68056
65	4796	67875
66	4861	67695
67	4927	67529
68	4994	67384
69	5065	67292
70	5135	67198
71	5203	67063
72	5273	66961
73	5340	66831
74	5415	66793
75	5477	66600
76	5543	66450
77	5611	66325
78	5676	66181
79	5742	66038
80	5814	65965
81	5884	65872
82	5951	65749
83	6017	65617
84	6085	65509
85	6150	65370
86	6217	65243
87	6283	65123
88	6350	65006
89	6424	64955
90	6487	64807
91	6554	64687
92	6620	64567
93	6686	64449
94	6753	64339
95	6820	64225
96	6886	64108
97	6953	64004
98	7019	63882
99	7087	63783
100	7161	63742
101	7239	63738
102	7320	63750
103	7398	63737
104	7471	63685
105	7543	63621
106	7615	63560
107	7687	63489
108	7760	63438
109	7888	63825
110	7959	63749
111	8030	63668
112	8100	63588
113	8169	63495
114	8236	63382
115	8304	63282
116	8370	63169
117	8440	63089
118	8506	62976
119	8572	62863
120	8636	62736
121	8701	62619
122	8769	62526
123	8840	62454
124	8904	62332
125	8972	62238
126	9045	62180
127	9116	62107
128	9189	62045
129	9259	61967
130	9327	61873
131	9398	61804
132	9468	61722
133	9537	61637
134	9608	61565
135	9681	61505
136	9749	61415
137	9816	61316
138	9884	61229
139	9954	61149
140	10024	61069
141	10093	60984
142	10161	60896
143	10227	60797
144	10293	60695
145	10374	60683
146	10507	60972
147	10659	61366
148	10848	61957
149	10939	61989
150	11020	61964
151	11108	61975
152	11186	61929
153	11268	61902
154	11344	61845
155	11425	61815
156	11511	61812
157	11591	61772
158	11681	61786
159	11779	61842
160	11870	61859
161	11952	61829
162	12037	61813
163	12119	61777
164	12201	61746
165	12291	61755
166	12371	61710
167	12455	61684
168	12532	61626
169	12614	61589
170	12697	61558
171	12773	61493
172	12848	61421
173	12926	61364
174	13007	61319
175	13085	61261
176	13159	61186
177	13237	61131
178	13306	61032
179	13387	60985
180	13472	60961
181	13548	60894
182	13622	60815
183	13696	60741
184	13771	60667
185	13843	60582
186	13924	60537
187	14001	60476
188	14073	60390
189	14149	60319
190	14223	60245
191	14299	60177
192	14377	60115
193	14456	60062
194	14526	59970
195	14601	59896
196	14701	59926
197	14787	59897
198	14875	59876
199	14951	59805
200	15031	59751
201	15107	59683
202	15186	59622
203	15264	59563
204	15347	59518
205	15433	59486
206	15510	59418
207	15586	59348
208	15667	59297
209	15741	59218
210	15822	59165
211	15904	59116
212	15983	59058
213	16063	58998
214	16149	58963
215	16224	58889
216	16294	58796
217	16369	58719
218	16441	58633
219	16508	58528
220	16582	58452
221	16664	58400
222	16737	58316
223	16809	58232
224	16875	58126
225	16941	58020
226	17030	57992
227	17135	58021
228	17214	57959
229	17307	57942
230	17384	57872
231	17457	57790
232	17523	57683
233	17592	57589
234	17661	57492
235	17729	57397
236	17800	57305
237	17861	57187
238	17924	57073
239	17992	56977
240	18059	56875
241	18128	56781
242	18191	56670
243	18254	56560
244	18322	56463
245	18396	56385
246	18463	56287
247	18527	56179
248	18589	56067
249	18650	55952
250	18714	55844
251	18780	55744
252	18845	55641
253	18909	55538
254	18971	55426
255	19035	55321
256	19093	55200
257	19157	55095
258	19221	54991
259	19285	54890
260	19355	54804
261	19426	54721
262	19486	54607
263	19550	54504
264	19610	54392
265	19670	54278
266	19729	54163
267	19792	54059
268	19858	53963
269	19918	53853
270	19979	53745
271	20038	53632
272	20098	53521
273	20157	53410
274	20219	53306
275	20282	53204
276	20350	53115
277	20415	53022
278	20480	52926
279	20546	52832
280	20607	52729
281	20667	52620
282	20733	52530
283	20802	52446
284	20867	52351
285	20931	52254
286	20998	52166
287	21062	52071
288	21124	51970
289	21192	51883
290	21260	51800
291	21321	51696
292	21388	51609
293	21455	51522
294	21522	51433
295	21599	51371
296	21696	51356
297	21803	51362
298	21877	51291
299	21948	51213
300	22019	51134
301	22084	51043
302	22147	50947
303	22218	50867
304	22286	50784
305	22354	50698
306	22422	50614
307	22486	50520
308	22551	50429
309	22616	50339
310	22682	50252
311	22752	50171
312	22812	50070
313	22872	49968
314	22933	49871
315	22995	49774
316	23056	49677
317	23116	49576
318	23178	49480
319	23245	49396
320	23312	49312
321	23373	49215
322	23440	49130
323	23502	49036
324	23572	48958
325	23634	48863
326	23695	48768
327	23764	48687
328	23826	48593
329	23887	48499
330	23949	48404
331	24013	48315
332	24075	48224
333	24137	48131
334	24196	48031
335	24257	47937
336	24324	47854
337	24390	47771
338	24458	47690
339	24518	47594
340	24576	47495
341	24636	47400
342	24695	47302
343	24759	47215
344	24822	47126
345	24889	47045
346	24951	46954
347	25012	46862
348	25074	46771
349	25138	46685
350	25201	46596
351	25259	46500
352	25324	46415
353	25391	46335
354	25449	46239
355	25513	46153
356	25573	46061
357	25632	45967
358	25699	45886
359	25762	45799
360	25825	45713
361	25884	45619
362	25945	45528
363	26007	45441
364	26070	45356
365	26137	45276
366	26196	45184
367	26260	45098
368	26324	45016
369	26391	44936
370	26458	44858
371	26522	44774
372	26582	44685
373	26646	44601
374	26714	44524
375	26780	44443
376	26845	44362
377	26908	44277
378	26969	44190
379	27035	44110
380	27095	44020
381	27153	43928
382	27214	43842
383	27283	43767
384	27348	43687
385	27414	43607
386	27480	43529
387	27545	43447
388	27609	43366
389	27667	43275
390	27730	43191
391	27789	43102
392	27855	43024
393	27918	42941
394	27980	42855
395	28056	42792
396	28118	42708
397	28177	42620
398	28239	42535
399	28299	42449
400	28365	42370
401	28445	42314
402	28506	42229
403	28573	42153
404	28639	42074
405	28698	41988
406	28763	41909
407	28826	41826
408	28881	41733
409	28952	41663
410	29018	41586
411	29079	41501
412	29138	41415
413	29200	41332
414	29259	41246
415	29319	41159
416	29386	41084
417	29451	41007
418	29512	40922
419	29580	40849
420	29654	40783
421	29737	40729
422	29800	40649
423	29857	40561
424	29926	40488
425	29987	40405
426	30055	40332
427	30135	40274
428	30200	40196
429	30264	40118
430	30331	40043
431	30396	39965
432	30454	39878
433	30517	39798
434	30582	39722
435	30645	39641
436	30710	39565
437	30775	39487
438	30851	39424
439	30916	39348
440	30981	39271
441	31055	39205
442	31126	39135
443	31205	39077
444	31279	39011
445	31358	38951
446	31436	38891
447	31544	38867
448	31624	38808
449	31689	38732
450	31780	38686
451	31867	38635
452	31953	38584
453	32043	38536
454	32133	38489
455	32218	38436
456	32298	38376
457	32378	38317
458	32451	38249
459	32523	38179
460	32600	38116
461	32669	38043
462	32737	37969
463	32807	37898
464	32882	37832
465	32959	37769
466	33032	37701
467	33102	37629
468	33179	37566
469	33250	37495
470	33319	37422
471	33411	37375
472	33486	37309
473	33582	37266
474	33700	37247
475	33806	37215
476	33948	37221
477	34071	37207
478	34187	37184
479	34282	37139
480	34404	37122
481	34502	37079
482	34596	37032
483	34701	36995
484	34790	36942
485	34884	36894
486	34972	36839
487	35051	36775
488	35122	36702
489	35197	36634
490	35265	36558
491	35342	36491
492	35434	36440
493	35515	36378
494	35589	36308
495	35662	36237
496	35739	36170
497	35818	36106
498	35902	36046
499	35971	35971
500	36054	35910
501	36132	35844
502	36204	35772
503	36269	35693
504	36333	35613
505	36403	35540
506	36465	35458
507	36558	35407
508	36637	35342
509	36706	35266
510	36781	35197
511	36850	35122
512	36915	35044
513	36985	34970
514	37047	34889
515	37112	34811
516	37214	34767
517	37284	34693
518	37357	34622
519	37429	34550
520	37499	34476
521	37566	34400
522	37629	34320
523	37701	34247
524	37779	34181
525	37842	34101
526	37915	34030
527	37989	33960
528	38053	33880
529	38118	33803
530	38185	33727
531	38248	33647
532	38319	33574
533	38408	33517
534	38489	33453
535	38573	33391
536	38642	33317
537	38714	33245
538	38784	33171
539	38861	33104
540	38933	33032
541	39000	32956
542	39061	32874
543	39119	32791
544	39181	32711
545	39242	32630
546	39322	32564
547	39387	32487
548	39449	32407
549	39511	32327
550	39574	32248
551	39637	32169
552	39718	32105
553	39784	32028
554	39846	31949
555	39916	31875
556	39985	31801
557	40048	31723
558	40111	31643
559	40176	31567
560	40239	31488
561	40327	31429
562	40409	31365
563	40494	31304
564	40580	31243
565	40668	31183
566	40745	31116
567	40824	31049
568	40892	30974
569	40963	30902
570	41038	30833
571	41118	30766
572	41184	30691
573	41249	30613
574	41318	30539
575	41388	30466
576	41466	30399
577	41532	30322
578	41600	30248
579	41671	30175
580	41737	30099
581	41806	30025
582	41875	29951
583	41943	29877
584	42010	29802
585	42081	29729
586	42160	29663
587	42237	29594
588	42306	29520
589	42387	29455
590	42562	29454
591	42725	29445
592	42819	29388
593	42931	29343
594	43032	29291
595	43126	29233
596	43207	29166
597	43291	29102
598	43381	29042
599	43464	28976
600	43547	28910
601	43624	28841
602	43707	28775
603	43797	28714
604	43877	28647
605	43962	28582
606	44040	28513
607	44113	28441
608	44190	28371
609	44270	28303
610	44348	28234
611	44424	28164
612	44503	28096
613	44588	28031
614	44679	27970
615	44767	27907
616	44853	27842
617	44939	27778
618	45008	27703
619	45073	27625
620	45138	27548
621	45214	27477
622	45277	27399
623	45341	27321
624	45403	27242
625	45485	27175
626	45552	27098
627	45615	27020
628	45686	26947
629	45783	26889
630	45873	26826
631	45952	26756
632	46013	26677
633	46074	26598
634	46137	26519
635	46210	26447
636	46281	26373
637	46347	26297
638	46407	26217
639	46483	26146
640	46542	26066
641	46619	25996
642	46683	25919
643	46755	25846
644	46820	25769
645	46887	25693
646	46973	25628
647	47040	25552
648	47104	25475
649	47170	25399
650	47279	25346
651	47346	25271
652	47410	25193
653	47485	25122
654	47548	25044
655	47620	24971
656	47693	24899
657	47770	24829
658	47829	24749
659	47895	24673
660	47981	24607
661	48058	24537
662	48144	24471
663	48242	24411
664	48313	24338
665	48405	24275
666	48484	24206
667	48547	24128
668	48609	24050
669	48669	23971
670	48747	23901
671	48815	23826
672	48874	23747
673	48950	23676
674	49013	23599
675	49071	23519
676	49134	23442
677	49203	23368
678	49271	23293
679	49338	23217
680	49398	23139
681	49469	23066
682	49535	22991
683	49597	22913
684	49657	22835
685	49748	22770
686	49816	22696
687	49874	22617
688	49947	22545
689	50016	22471
690	50078	22394
691	50141	22317
692	50223	22248
693	50291	22174
694	50356	22098
695	50462	22041
696	50549	21975
697	50621	21902
698	50683	21825
699	50757	21753
700	50819	21676
701	50881	21599
702	50944	21522
703	51017	21450
704	51077	21372
705	51138	21295
706	51220	21227
707	51301	21158
708	51369	21083
709	51433	21007
710	51517	20940
711	51581	20864
712	51646	20788
713	51716	20715
714	51788	20642
715	51850	20566
716	51923	20494
717	52018	20430
718	52086	20356
719	52146	20279
720	52240	20214
721	52314	20143
722	52389	20071
723	52458	19998
724	52537	19928
725	52602	19852
726	52670	19778
727	52752	19709
728	52830	19639
729	52902	19566
730	52993	19501
731	53058	19425
732	53124	19350
733	53184	19274
734	53267	19205
735	53332	19130
736	53400	19056
737	53473	18983
738	53538	18908
739	53599	18832
740	53667	18758
741	53762	18693
742	53829	18619
743	53893	18543
744	53968	18472
745	54038	18399
746	54099	18322
747	54159	18246
748	54248	18179
749	54340	18113
750	54506	18072
751	54607	18008
752	54693	17940
753	54814	17883
754	54922	17822
755	55038	17763
756	55134	17698
757	55239	17635
758	55347	17574
759	55436	17506
760	55533	17440
761	55623	17373
762	55714	17305
763	55818	17242
764	55889	17168
765	55952	17092
766	56038	17023
767	56099	16946
768	56155	16868
769	56223	16794
770	56286	16717
771	56356	16644
772	56446	16576
773	56516	16502
774	56579	16426
775	56646	16351
776	56705	16274
777	56765	16197
778	56830	16122
779	56894	16047
780	56954	15970
781	57017	15894
782	57085	15820
783	57152	15746
784	57218	15671
785	57285	15596
786	57348	15521
787	57412	15446
788	57476	15370
789	57542	15296
790	57605	15220
791	57671	15146
792	57731	15069
793	57797	14995
794	57860	14920
795	57936	14847
796	58007	14774
797	58083	14702
798	58151	14628
799	58218	14554
800	58282	14479
801	58350	14405
802	58415	14330
803	58482	14256
804	58544	14181
805	58605	14106
806	58662	14029
807	58730	13955
808	58792	13880
809	58852	13804
810	58913	13729
811	58976	13654
812	59047	13581
813	59109	13506
814	59169	13431
815	59229	13355
816	59300	13282
817	59361	13207
818	59422	13132
819	59500	13061
820	59560	12985
821	59627	12912
822	59689	12837
823	59755	12763
824	59816	12688
825	59881	12614
826	59945	12539
827	60009	12465
828	60071	12391
829	60131	12316
830	60196	12242
831	60269	12169
832	60353	12099
833	60430	12028
834	60502	11955
835	60570	11882
836	60665	11814
837	60733	11740
838	60791	11665
839	60851	11590
840	60912	11516
841	60978	11442
842	61037	11367
843	61105	11294
844	61167	11220
845	61230	11145
846	61292	11071
847	61352	10997
848	61414	10923
849	61477	10848
850	61535	10774
851	61596	10699
852	61658	10625
853	61716	10551
854	61777	10476
855	61837	10402
856	61899	10328
857	61985	10258
858	62048	10184
859	62111	10111
860	62169	10036
861	62234	9963
862	62301	9890
863	62366	9816
864	62429	9743
865	62493	9669
866	62552	9595
867	62622	9523
868	62687	9449
869	62755	9377
870	62817	9303
871	62880	9230
872	62950	9157
873	63017	9084
874	63084	9012
875	63164	8941
876	63230	8868
877	63292	8794
878	63353	8720
879	63422	8648
880	63490	8575
881	63547	8501
882	63607	8428
883	63673	8355
884	63731	8281
885	63794	8208
886	63856	8135
887	63919	8061
888	63979	7988
889	64043	7915
890	64102	7841
891	64160	7768
892	64224	7695
893	64288	7622
894	64350	7549
895	64406	7475
896	64467	7402
897	64528	7329
898	64592	7256
899	64656	7184
900	64723	7111
901	64786	7038
902	64847	6965
903	64908	6892
904	64967	6819
905	65032	6747
906	65088	6673
907	65148	6600
908	65218	6528
909	65291	6457
910	65356	6384
911	65419	6312
912	65481	6239
913	65548	6167
914	65641	6097
915	65713	6026
916	65795	5955
917	65861	5883
918	65933	5811
919	65994	5738
920	66053	5665
921	66134	5594
922	66194	5522
923	66254	5449
924	66315	5376
925	66383	5304
926	66442	5232
927	66498	5159
928	66555	5086
929	66625	5014
930	66696	4943
931	66759	4870
932	66824	4798
933	66888	4726
934	66957	4654
935	67053	4584
936	67144	4514
937	67204	4442
938	67276	4370
939	67356	4299
940	67418	4227
941	67478	4154
942	67545	4082
943	67614	4011
944	67677	3938
945	67735	3866
946	67792	3794
947	67857	3722
948	67919	3650
949	67979	3577
950	68047	3506
951	68110	3434
952	68191	3363
953	68261	3291
954	68330	3219
955	68402	3148
956	68475	3076
957	68540	3004
958	68615	2933
959	68681	2861
960	68752	2790
961	68827	2718
962	68893	2647
963	68959	2575
964	69025	2503
965	69088	2431
966	69147	2359
967	69220	2288
968	69280	2216
969	69340	2144
970	69399	2072
971	69467	2001
972	69529	1929
973	69590	1857
974	69656	1786
975	69718	1714
976	69787	1642
977	69849	1571
978	69913	1499
979	69985	1428
980	70055	1356
981	70113	1285
982	70179	1213
983	70261	1142
984	70335	1071
985	70395	999
986	70459	928
987	70525	856
988	70593	785
989	70653	713
990	70733	642
991	70792	570
992	70854	499
993	70919	428
994	70983	356
995	71047	285
996	71116	213
997	71176	142
998	71237	71
999	71295	0
